姓氏： 濮 	中签次数： 162， 	 中签率： 0.0383% ，
姓氏： 古 	中签次数： 29， 	 中签率： 0.0068% ，
姓氏： 鲍 	中签次数： 896， 	 中签率： 0.2116% ，
姓氏： 封 	中签次数： 129， 	 中签率： 0.0305% ，
姓氏： 嵇 	中签次数： 66， 	 中签率： 0.0156% ，
姓氏： 郎 	中签次数： 661， 	 中签率： 0.1561% ，
姓氏： 闵 	中签次数： 64， 	 中签率： 0.0151% ，
姓氏： 寿 	中签次数： 388， 	 中签率： 0.0916% ，
姓氏： 练 	中签次数： 87， 	 中签率： 0.0205% ，
姓氏： 尤 	中签次数： 176， 	 中签率： 0.0416% ，
姓氏： 岳 	中签次数： 135， 	 中签率： 0.0319% ，
姓氏： 鄢 	中签次数： 78， 	 中签率： 0.0184% ，
姓氏： 覃 	中签次数： 81， 	 中签率： 0.0191% ，
姓氏： 窦 	中签次数： 38， 	 中签率： 0.009% ，
姓氏： 邓 	中签次数： 1059， 	 中签率： 0.2501% ，
姓氏： 茆 	中签次数： 9， 	 中签率： 0.0021% ，
姓氏： 辛 	中签次数： 84， 	 中签率： 0.0198% ，
姓氏： 慕 	中签次数： 8， 	 中签率： 0.0019% ，
姓氏： 仇 	中签次数： 223， 	 中签率： 0.0527% ，
姓氏： 蓝 	中签次数： 319， 	 中签率： 0.0753% ，
姓氏： 符 	中签次数： 111， 	 中签率： 0.0262% ，
姓氏： 晁 	中签次数： 20， 	 中签率： 0.0047% ，
姓氏： 宣 	中签次数： 319， 	 中签率： 0.0753% ，
姓氏： 凡 	中签次数： 18， 	 中签率： 0.0043% ，
姓氏： 左 	中签次数： 146， 	 中签率： 0.0345% ，
姓氏： 戎 	中签次数： 116， 	 中签率： 0.0274% ，
姓氏： 卞 	中签次数： 108， 	 中签率： 0.0255% ，
姓氏： 芦 	中签次数： 113， 	 中签率： 0.0267% ，
姓氏： 蔺 	中签次数： 15， 	 中签率： 0.0035% ，
姓氏： 谷 	中签次数： 120， 	 中签率： 0.0283% ，
姓氏： 祁 	中签次数： 116， 	 中签率： 0.0274% ，
姓氏： 郝 	中签次数： 196， 	 中签率： 0.0463% ，
姓氏： 靳 	中签次数： 56， 	 中签率： 0.0132% ，
姓氏： 席 	中签次数： 109， 	 中签率： 0.0257% ，
姓氏： 瞿 	中签次数： 440， 	 中签率： 0.1039% ，
姓氏： 查 	中签次数： 178， 	 中签率： 0.042% ，
姓氏： 贺 	中签次数： 356， 	 中签率： 0.0841% ，
姓氏： 邬 	中签次数： 219， 	 中签率： 0.0517% ，
姓氏： 常 	中签次数： 202， 	 中签率： 0.0477% ，
姓氏： 吾 	中签次数： 16， 	 中签率： 0.0038% ，
姓氏： 裴 	中签次数： 205， 	 中签率： 0.0484% ，
姓氏： 支 	中签次数： 80， 	 中签率： 0.0189% ，
姓氏： 郁 	中签次数： 287， 	 中签率： 0.0678% ，
姓氏： 初 	中签次数： 12， 	 中签率： 0.0028% ，
姓氏： 闻 	中签次数： 424， 	 中签率： 0.1001% ，
姓氏： 劳 	中签次数： 148， 	 中签率： 0.0349% ，
姓氏： 候 	中签次数： 34， 	 中签率： 0.008% ，
姓氏： 习 	中签次数： 12， 	 中签率： 0.0028% ，
姓氏： 浦 	中签次数： 20， 	 中签率： 0.0047% ，
姓氏： 展 	中签次数： 8， 	 中签率： 0.0019% ，
姓氏： 岑 	中签次数： 95， 	 中签率： 0.0224% ，
姓氏： 令 	中签次数： 6， 	 中签率： 0.0014% ，
姓氏： 成 	中签次数： 152， 	 中签率： 0.0359% ，
姓氏： 盖 	中签次数： 18， 	 中签率： 0.0043% ，
姓氏： 焦 	中签次数： 111， 	 中签率： 0.0262% ，
姓氏： 时 	中签次数： 96， 	 中签率： 0.0227% ，
姓氏： 泮 	中签次数： 191， 	 中签率： 0.0451% ，
姓氏： 解 	中签次数： 122， 	 中签率： 0.0288% ，
姓氏： 商 	中签次数： 258， 	 中签率： 0.0609% ，
姓氏： 仲 	中签次数： 122， 	 中签率： 0.0288% ，
姓氏： 牛 	中签次数： 191， 	 中签率： 0.0451% ，
姓氏： 漏 	中签次数： 57， 	 中签率： 0.0135% ，
姓氏： 荆 	中签次数： 28， 	 中签率： 0.0066% ，
姓氏： 苑 	中签次数： 14， 	 中签率： 0.0033% ，
姓氏： 戈 	中签次数： 27， 	 中签率： 0.0064% ，
姓氏： 帅 	中签次数： 211， 	 中签率： 0.0498% ，
姓氏： 伍 	中签次数： 174， 	 中签率： 0.0411% ，
姓氏： 笪 	中签次数： 13， 	 中签率： 0.0031% ，
姓氏： 姬 	中签次数： 37， 	 中签率： 0.0087% ，
姓氏： 寇 	中签次数： 32， 	 中签率： 0.0076% ，
姓氏： 祖 	中签次数： 14， 	 中签率： 0.0033% ，
姓氏： 管 	中签次数： 549， 	 中签率： 0.1296% ，
姓氏： 凤 	中签次数： 10， 	 中签率： 0.0024% ，
姓氏： 郗 	中签次数： 4， 	 中签率： 0.0009% ，
姓氏： 房 	中签次数： 85， 	 中签率： 0.0201% ，
姓氏： 操 	中签次数： 59， 	 中签率： 0.0139% ，
姓氏： 蒯 	中签次数： 5， 	 中签率： 0.0012% ，
